num_decks,dealer_rule,penetration,das,surrender,num_games,win_rate,ev,rtp,hands_played
6,S17,0.5,True,True,10000,43.04232544436807,-0.05155651576156339,94.84434842384366,10183
6,S17,0.5,True,False,10000,42.8417230890001,-0.055833578647826516,94.41664213521734,10191
6,S17,0.5,False,True,10000,42.83330060867858,-0.048007068525427056,95.1992931474573,10186
6,S17,0.5,False,False,10000,42.32767918423375,-0.061574664182763014,93.8425335817237,10199
6,S17,0.65,True,True,10000,43.17332284084202,-0.04377336218768444,95.62266378123155,10166
6,S17,0.65,True,False,10000,44.10231185440236,-0.02823413674372848,97.17658632562716,10165
6,S17,0.65,False,True,10000,42.048015678588925,-0.06604605585497306,93.3953944145027,10205
6,S17,0.65,False,False,10000,42.175066312997345,-0.06788486098830926,93.21151390116907,10179
6,S17,0.75,True,True,10000,42.35906501669613,-0.06069534472598703,93.9304655274013,10182
6,S17,0.75,True,False,10000,43.37184256902291,-0.04268650871353045,95.73134912864695,10214
6,S17,0.75,False,True,10000,42.75895925380461,-0.054491899852724596,94.55081001472753,10185
6,S17,0.75,False,False,10000,43.12782250147261,-0.04692715491851561,95.30728450814844,10186
6,H17,0.5,True,True,10000,43.06361223085242,-0.04640644970995969,95.35935502900404,10171
6,H17,0.5,True,False,10000,42.837506136475206,-0.054393716249386354,94.56062837506136,10185
6,H17,0.5,False,True,10000,43.4351369930276,-0.04144161838358048,95.85583816164196,10183
6,H17,0.5,False,False,10000,43.1798094863989,-0.04478051654718649,95.52194834528134,10183
6,H17,0.65,True,True,10000,42.662484070189194,-0.0569552004705421,94.30447995294578,10201
6,H17,0.65,True,False,10000,43.09278350515464,-0.050073637702503684,94.99263622974962,10185
6,H17,0.65,False,True,10000,43.414586200117945,-0.04521328877530961,95.47867112246904,10174
6,H17,0.65,False,False,10000,42.91474087914249,-0.053594257055757696,94.64057429442423,10169
6,H17,0.75,True,True,10000,41.76158680282796,-0.07747446975648076,92.25255302435193,10184
6,H17,0.75,True,False,10000,43.29208406992732,-0.04105283834217246,95.89471616578275,10182
6,H17,0.75,False,True,10000,42.57571302558071,-0.05929628540625306,94.07037145937468,10203
